"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"21",9999,9999,9999,9999,9999,9999,9999,9999,3091.90985791733,202.670619822960,295.957787343350,816.231321587408,138.587715012348,9999,9999,9999,9999,5835.98185814808,9999,8682.8866459121,3059.809611254,2249.01467795274,939.750362860467,426.703147022771,1126.06184914438,181.510705211356,9999,9999,9999,9999,9999,9999,2748.38840266329,2761.05743158557,3107.25306186236,1039.01090908746,733.66245627998,226.852450127231,159.418908097201,9999,9999,9999,9999,9999,9999,3811.49264715251,3380.82394009177,1408.89978940625,230.108539161888,1980.56190483978,380.717893101020,282.906428764753
"22",9999,9999,9999,9999,7174.29693896761,9999,9463.79528911573,2488.77104606699,4548.63896531342,1339.35907399172,3359.10195232103,664.959025127181,150.237343365494,9999,9999,9999,9999,9999,9999,3693.76742199053,9999,7302.74188815173,1216.66350885992,666.538605404184,58.4741208971265,510.740891506155,9999,9999,9999,9999,9999,9999,5410.52184154117,5166.01851146389,1997.28020188238,2754.15986211216,393.749310643385,330.621852038326,264.391162667941,9999,9999,9999,9999,9999,9999,7518.97693775318,9309.39032726379,3493.56385327707,868.914779070745,1394.96062114906,183.936538556994,144.463922134411
"23",9999,9999,9999,9999,5316.99010006431,9344.47266008387,2744.3990521646,8622.16065180053,1916.21077545703,1861.02598497266,1017.26642440949,1075.70947367834,281.022229355611,9999,9999,9999,9999,9999,9999,4935.25786694152,9999,2030.9844874057,1971.51203671072,845.427933797314,1523.74439090268,483.583163821892,9999,9999,9999,9999,9628.80292473438,9999,8136.84391501901,4662.76697654013,4252.81669067185,1761.71089868209,1462.56107051561,134.265145965204,137.719102830569,9999,9999,9999,9999,8644.04390631415,9999,6144.07517534897,2513.90235348987,3711.86611548867,1778.64212511490,598.22636953985,548.667256188672,257.489637242178
"24",9999,9999,9999,9999,9999,9999,3945.32848625129,2300.74307202815,1529.39079596585,1303.51674630598,256.956607138411,1223.68491314238,342.793260933745,9999,9999,9999,9999,9999,9999,6233.18341813950,6116.36434916903,1621.30700975918,1309.23240237028,1232.81421164079,908.152802747846,469.686260564045,9999,9999,7943.41810074219,9999,9999,9999,2181.93386322007,7890.90127450576,3564.94083078578,1676.69764717846,1713.56140224487,632.368111084214,317.487285430702,9999,9999,9999,9999,9999,9999,2391.69277526834,4228.36498892967,4396.04809583883,1098.30064679739,1134.25339083856,253.431249907854,329.651733402023
"25",9999,9999,9999,9999,9999,9999,9999,3362.96536374956,3324.20060377781,1125.86163733912,631.126930006949,614.470990135422,354.12395151115,9999,9999,9999,9999,9999,9999,9999,490.166596461127,1562.49159401734,2020.77076997488,3942.1142572242,1273.79163309804,164.218727201443,9999,9999,9999,9999,9999,9999,9999,9999,1098.74286274557,1565.51815030741,661.005472998195,1546.49330707043,938.304931269407,9999,9999,9999,9999,9999,9999,8073.16341139434,7523.29240131743,4768.95557669153,9618.98241275008,1154.68812202808,339.424460624375,774.390556768393
"26",9999,9999,9999,9999,9999,9999,6967.11459250241,8041.76797899663,6784.45231844332,1118.74294122908,1225.17930220691,382.151190812042,433.369526661961,9999,9999,9999,9999,9999,9999,9999,4691.8660442239,6684.98557669067,1910.13918290578,642.048505406309,152.505058793676,298.096348271494,9999,9999,9999,9999,9999,7552.43675325774,6239.89976816368,9679.9008883275,1464.72785283426,1161.36553431917,392.337813124055,868.206642083963,608.052275886054,9999,9999,9999,7211.5585384178,9999,9999,8273.61468013579,9999,2148.73709289611,3232.94781403559,916.741272689554,444.673758575024,510.395094187502
"27",9999,9999,9999,9999,7223.36088006534,9999,3300.49348817494,1939.80695273883,1628.49799193359,8251.8997540754,452.577417336062,510.627078145046,294.848872030393,9999,9999,9999,9999,9999,5490.62548812959,3673.14370817549,5372.53389416331,1207.87171012736,2402.70840543313,1958.32313326114,382.835962298827,851.239654980698,9999,9999,9999,9999,9999,5516.9380303689,7413.38235528149,3849.10716090408,4356.83992528429,1480.59340683656,658.929235499224,1453.34396029872,398.347579137657,9999,9999,9999,9999,9999,9999,9999,4023.80259591803,981.05929221431,3551.02825035743,1093.83632552632,3259.73780169935,468.845130052387
"28",9999,9999,9999,9999,9999,9999,8718.76688350713,3097.60025895385,3100.29307928234,2394.92710140752,1532.94863769673,816.429388748883,191.162713969378,9999,9999,9999,9999,5659.60804547098,9999,9999,2168.37220058551,4592.62468512194,834.88164200576,793.942599438476,303.259260156804,386.847146989635,9999,9999,9999,9999,9999,5780.40738856145,7571.82232283373,5729.99380141374,1745.10731747978,873.670717193563,724.603024959449,768.055624730101,233.582515373772,9999,9999,9999,9999,9999,9999,9999,5088.62101364123,2324.9240557393,1497.28504162998,1474.66011336550,532.803901345599,321.350474224989
"29",9999,9999,9999,9999,9999,8117.1532135002,4167.65854796151,9588.30482041794,4305.7633659595,3712.95129431175,647.493768900707,1421.58120301608,110.889087155796,9999,9999,9999,9999,9999,9999,6939.85444680904,9999,2061.96576613811,1678.07588765393,1648.92882652088,222.425316175459,483.385602963818,9999,9999,9999,9999,7612.80234995906,7081.998986866,6141.13957744622,4520.96802289713,1040.52759583217,1884.28471134284,817.233143371564,830.842891029767,716.046004027204,9999,1357.54354440423,9999,9999,9999,9999,9999,5854.3485002519,1825.05951635140,1159.10457273563,1176.34873980794,426.655407098693,203.916315206554
"30",9999,9999,9999,9999,9999,9999,7722.02796359224,922.890602523439,1257.86475811162,1899.70094033830,1439.50357062056,453.847716930512,159.665317852616,9999,9999,9999,9999,9999,9999,5517.45578709868,9999,1183.16246030224,1032.32298003104,268.638056044151,707.863157153535,666.551770631228,9999,9999,9999,9999,9999,9999,9092.12978392641,7748.56480858355,2018.27886053668,4159.36840954119,1109.25075304965,1030.59405743514,352.180786007208,9999,9999,9999,9999,9999,6283.04111527506,8829.67992979712,2501.17809365649,5710.25119015351,1533.78409939689,1005.46880366524,197.669678674944,417.878803784743
